"","Accession","Gene.x","Gene.y"
"1","AGAP000140","AgamIr100a","AgamIr100a"
"2","AGAP000226",NA,"AgamOr41"
"3","AGAP000230",NA,"AgamOr52"
"4","AGAP000256","AgamIr93a","AgamIr93a"
"5","AGAP000293","AgamIr103","AgamIr100h"
"6","AGAP000714","AgamIr7b","AgamIr7n"
"7","AGAP001012",NA,"AgamOr36"
"8","AGAP001114",NA,"AgamGr38"
"9","AGAP001115",NA,"AgamGr42"
"10","AGAP001117",NA,"AgamGr37"
"11","AGAP001119",NA,"AgamGr39"
"12","AGAP001120",NA,"AgamGr40"
"13","AGAP001121",NA,"AgamGr60"
"14","AGAP001122",NA,"AgamGr41"
"15","AGAP001123",NA,"AgamGr36"
"16","AGAP001125",NA,"AgamGr58"
"17","AGAP001137",NA,"AgamGr59"
"18","AGAP001169",NA,"AgamGr49"
"19","AGAP001170",NA,"AgamGr48"
"20","AGAP001171",NA,"AgamGr50"
"21","AGAP001172",NA,"AgamGr51"
"22","AGAP001173",NA,"AgamGr52"
"23","AGAP001811","AgamIr75b","AgamIr75h.1"
"24","AGAP001812","AgamIr75c","AgamIr75h.2"
"25","AGAP001912",NA,"AgamOr8"
"26","AGAP001915",NA,"AgamGr24"
"27","AGAP002044",NA,"AgamOr77"
"28","AGAP002045",NA,"AgamOr75"
"29","AGAP002046",NA,"AgamOr76"
"30","AGAP002125",NA,"AgamOr34"
"31","AGAP002126",NA,"AgamOr37"
"32","AGAP002275",NA,"AgamGr2"
"33","AGAP002558",NA,"AgamOr40"
"34","AGAP002560",NA,"AgamOrco"
"35","AGAP002633",NA,"AgamGr53"
"36","AGAP002635",NA,"AgamGr13"
"37","AGAP002639",NA,"AgamOr39"
"38","AGAP002640",NA,"AgamOr38"
"39","AGAP002722",NA,"AgamOr28"
"40","AGAP002763","AgamIr7h","AgamIr7t"
"41","AGAP002904","AgamIr41a","AgamIr41a"
"42","AGAP002995",NA,"AgamOr59"
"43","AGAP003053",NA,"AgamOr45"
"44","AGAP003054",NA,"AgamOr25"
"45","AGAP003098",NA,"AgamGr23"
"46","AGAP003253",NA,"AgamGr15"
"47","AGAP003254",NA,"AgamGr16"
"48","AGAP003255",NA,"AgamGr17"
"49","AGAP003256",NA,"AgamGr18"
"50","AGAP003258",NA,"AgamGr19"
"51","AGAP003259",NA,"AgamGr20"
"52","AGAP003260",NA,"AgamGr21"
"53","AGAP003310",NA,"AgamOr66"
"54","AGAP003531","AgamIr41d","AgamIr41n"
"55","AGAP004021","AgamIr40a","AgamIr40a"
"56","AGAP004067",NA,"AgamOr58"
"57","AGAP004114",NA,"AgamGr1"
"58","AGAP004278",NA,"AgamOr42"
"59","AGAP004313",NA,"AgamGr54"
"60","AGAP004354",NA,"AgamOr26"
"61","AGAP004355",NA,"AgamOr27"
"62","AGAP004356",NA,"AgamOr56"
"63","AGAP004357",NA,"AgamOr57"
"64","AGAP004432",NA,"AgamIr41t.1"
"65","AGAP004475","AgamIr104","AgamIr100i"
"66","AGAP004716",NA,"AgamGr57"
"67","AGAP004727",NA,"AgamGr25"
"68","AGAP004923","AgamIr64a","AgamIr64a"
"69","AGAP004951",NA,"AgamOr32"
"70","AGAP004969","AgamIr75d","AgamIr75d"
"71","AGAP004971",NA,"AgamOr35"
"72","AGAP004974",NA,"AgamOr31"
"73","AGAP005047",NA,"AgamGr43"
"74","AGAP005466","AgamIr75f","AgamIr75l"
"75","AGAP005495",NA,"AgamOr80"
"76","AGAP005514",NA,"AgamGr47"
"77","AGAP005677","AgamIr163","AgamIr133"
"78","AGAP005678","AgamIr162","AgamIr134"
"79","AGAP005679","AgamIr161","AgamIr135"
"80","AGAP005760",NA,"AgamOr33"
"81","AGAP006143",NA,"AgamGr56"
"82","AGAP006167",NA,"AgamOr6"
"83","AGAP006399",NA,"AgamGr14"
"84","AGAP006407","AgamIr166","AgamIr142"
"85","AGAP006440","AgamIr157","AgamIr136"
"86","AGAP006450",NA,"AgamGr34"
"87","AGAP006666",NA,"AgamOr48"
"88","AGAP006667",NA,"AgamOr49"
"89","AGAP006691","AgamIr139","AgamIr139"
"90","AGAP006713",NA,"AgamGr28"
"91","AGAP006716",NA,"AgamGr27"
"92","AGAP006717",NA,"AgamGr26"
"93","AGAP006874",NA,"AgamGr29"
"94","AGAP006875",NA,"AgamGr30"
"95","AGAP006876",NA,"AgamGr31"
"96","AGAP006877",NA,"AgamGr32"
"97","AGAP006917",NA,"AgamGr55"
"98","AGAP007498","AgamIr75e","AgamIr75k"
"99","AGAP007756",NA,"AgamGr46"
"100","AGAP007757",NA,"AgamGr45"
"101","AGAP007797",NA,"AgamOr23"
"102","AGAP007951","AgamIr68a","AgamIr68a"
"103","AGAP008114",NA,"AgamOr22"
"104","AGAP008333",NA,"AgamOr9"
"105","AGAP008511","AgamIr21a","AgamIr21a"
"106","AGAP008759","AgamIr41b","AgamIr41b"
"107","AGAP008894",NA,"AgamOr65"
"108","AGAP009014","AgamIr31a1","AgamIr31a"
"109","AGAP009111",NA,"AgamOr29"
"110","AGAP009256",NA,"AgamGr44"
"111","AGAP009390",NA,"AgamOr53"
"112","AGAP009391",NA,"AgamOr30"
"113","AGAP009392",NA,"AgamOr46"
"114","AGAP009393",NA,"AgamOr47"
"115","AGAP009394",NA,"AgamOr16"
"116","AGAP009395",NA,"AgamOr17"
"117","AGAP009396",NA,"AgamOr13"
"118","AGAP009397",NA,"AgamOr55"
"119","AGAP009398",NA,"AgamOr15"
"120","AGAP009408",NA,"AgamOr14"
"121","AGAP009409",NA,"AgamOr51"
"122","AGAP009410",NA,"AgamOr18"
"123","AGAP009411",NA,"AgamOr20"
"124","AGAP009519",NA,"AgamOr2"
"125","AGAP009520",NA,"AgamOr10"
"126","AGAP009640",NA,"AgamOr1"
"127","AGAP009704",NA,"AgamOr68"
"128","AGAP009705",NA,"AgamOr69"
"129","AGAP009706",NA,"AgamOr70"
"130","AGAP009707",NA,"AgamOr71"
"131","AGAP009718",NA,"AgamOr72"
"132","AGAP009719",NA,"AgamOr73"
"133","AGAP009720",NA,"AgamOr74"
"134","AGAP009802",NA,"AgamGr12"
"135","AGAP009803",NA,"AgamGr11"
"136","AGAP009804",NA,"AgamGr10"
"137","AGAP009805",NA,"AgamGr9"
"138","AGAP009853",NA,"AgamGr5"
"139","AGAP009854",NA,"AgamGr6"
"140","AGAP009855",NA,"AgamGr7"
"141","AGAP009856",NA,"AgamGr8"
"142","AGAP009857",NA,"AgamGr4"
"143","AGAP009858",NA,"AgamGr3"
"144","AGAP009999",NA,"AgamGr22"
"145","AGAP010195",NA,"AgamGr33"
"146","AGAP010272","AgamIr25a","AgamIr25a"
"147","AGAP010411","AgamIr8a","AgamIr8a"
"148","AGAP010504",NA,"AgamOr43"
"149","AGAP010505",NA,"AgamOr44"
"150","AGAP010507",NA,"AgamOr24"
"151","AGAP011467",NA,"AgamOr5"
"152","AGAP011468",NA,"AgamOr4"
"153","AGAP011469",NA,"AgamOr3"
"154","AGAP011631",NA,"AgamOr11"
"155","AGAP011813",NA,"AgamOr54"
"156","AGAP011915",NA,"AgamGr35"
"157","AGAP011943","AgamIr60a","AgamIr60a"
"158","AGAP011968","AgamIr76b","AgamIr76b"
"159","AGAP011978",NA,"AgamOr62"
"160","AGAP011979",NA,"AgamOr60"
"161","AGAP011989",NA,"AgamOr63"
"162","AGAP011990",NA,"AgamOr64"
"163","AGAP011991",NA,"AgamOr61"
"164","AGAP012951","AgamIr41c","AgamIr41c"
"165","AGAP012969","AgamIr41e","AgamIr41t.2"
"166","AGAP013085","AgamIr75a","AgamIr75g"
"167","AGAP013154","AgamIr7a","AgamIr7h.1"
"168","AGAP013172","AgamIr7e","AgamIr7y"
"169","AGAP013242","AgamIr114","AgamIr140.1"
"170","AGAP013285","AgamIr7g","AgamIr7u"
"171","AGAP013363","AgamIr7f","AgamIr7i"
"172","AGAP013409","AgamIr7c","AgamIr7s"
"173","AGAP013416","AgamIr7i","AgamIr7w"
"174","AGAP013425","AgamIr102","AgamIr101"
"175","AGAP013436","AgamIr115","AgamIr140.2"
"176","AGAP013512",NA,"AgamOr81"
"177","AGAP013520","AgamIr7d","AgamIr7x"
"178","AGAP028572","AgamGr63",NA
"179","AGAP029134","AgamIr129",NA
"180","AGAP029135","AgamIr118",NA
"181","AGAP029136","AgamIr155",NA
"182","AGAP029137","AgamIr151",NA
"183","AGAP029140","AgamIr124",NA
"184","AGAP029141","AgamIr116",NA
"185","AGAP029142","AgamIr154",NA
"186","AGAP029145","AgamIr121",NA
"187","AGAP029147","AgamIr31a2",NA
"188","AGAP029149","AgamIr175",NA
"189","AGAP029150","AgamIr128",NA
"190","AGAP029152","AgamIr138",NA
"191","AGAP029153","AgamIr165",NA
"192","AGAP029154","AgamIr156",NA
"193","AGAP029155","AgamIr105",NA
"194","AGAP029158","AgamIr150",NA
"195","AGAP029159","AgamIr137",NA
"196","AGAP029160","AgamIr134",NA
"197","AGAP029162","AgamIr174",NA
"198","AGAP029164","AgamIr131",NA
"199","AGAP029165","AgamIr132",NA
"200","AGAP029169","AgamGr64",NA
"201","AGAP029170","AgamIr146",NA
"202","AGAP029171","AgamIr144",NA
"203","AGAP029172","AgamIr160",NA
"204","AGAP029174","AgamIr142",NA
"205","AGAP029175","AgamGr61",NA
"206","AGAP029177","AgamIr109",NA
"207","AGAP029178","AgamIr120",NA
"208","AGAP029179","AgamIr101",NA
"209","AGAP029182","AgamIr130",NA
"210","AGAP029183","AgamIr108",NA
"211","AGAP029184","AgamIr110",NA
"212","AGAP029188","AgamIr75g","AgamIr141"
"213","AGAP029199","AgamGr62","AgamGr62"
"214","AGAP029200","AgamIr136","AgamIr206"
"215","AGAP029201","AgamIr173","AgamIr199"
"216","AGAP029202","AgamIr133","AgamIr203"
"217","AGAP029207","AgamIr106",NA
"218","AGAP029208","AgamIr119","AgamIr146"
"219","AGAP029209","AgamIr164","AgamIr162"
"220","AGAP029210","AgamIr140","AgamIr168"
"221","AGAP029212","AgamIr117","AgamIr144"
"222","AGAP029213","AgamIr141",NA
"223","AGAP029215","AgamIr123","AgamIr150"
"224","AGAP029216","AgamIr113","AgamIr155"
"225","AGAP029217","AgamIr122","AgamIr149"
"226","AGAP029220","AgamIr107","AgamIr156"
"227","AGAP029222","AgamIr126","AgamIr153"
"228","AGAP029223","AgamIr143","AgamIr170"
"229","AGAP029225","AgamIr127","AgamIr154"
"230","AGAP029226","AgamIr158","AgamIr195"
"231","AGAP029227","AgamIr149","AgamIr176"
"232","AGAP029228","AgamIr159","AgamIr196"
"233","AGAP029229","AgamIr153","AgamIr180"
"234","AGAP029230","AgamIr125","AgamIr152"
"235","AGAP029232","AgamIr152","AgamIr179"
"236","AGAP029233","AgamIr148","AgamIr175"
"237","AGAP029499",NA,"AgamOr21"
"238","AGAP029705",NA,"AgamOr50"
"239","AGAP029834","AgamIr169",NA
"240","AGAP029835","AgamIr168",NA
"241","AGAP029836","AgamIr171",NA
"242","AGAP029837","AgamIr167",NA
"243","AGAP029838","AgamIr170",NA
